tweet_id,Retweets_count,Favorites_count,Date_time
742423170473463808,3654,9601,2016-06-13 18:27:32
742385895052087300,1915,6650,2016-06-13 15:59:24
742161199639494656,1331,4219,2016-06-13 01:06:33
742150209887731712,1508,4993,2016-06-13 00:22:53
741793263812808706,1468,4434,2016-06-12 00:44:30
741743634094141440,2673,7995,2016-06-11 21:27:17
741438259667034112,796,3602,2016-06-11 01:13:51
741303864243200000,3121,8590,2016-06-10 16:19:48
741099773336379392,5361,9751,2016-06-10 02:48:49
741067306818797568,3010,9313,2016-06-10 00:39:48
740995100998766593,2652,6205,2016-06-09 19:52:53
740711788199743490,912,3328,2016-06-09 01:07:06
740699697422163968,757,2783,2016-06-09 00:19:04
740676976021798912,6637,17750,2016-06-08 22:48:46
740373189193256964,12961,34230,2016-06-08 02:41:38
740365076218183684,421,2407,2016-06-08 02:09:24
740359016048689152,842,3223,2016-06-08 01:45:19
740214038584557568,1912,6534,2016-06-07 16:09:13
739979191639244800,5752,19473,2016-06-07 00:36:02
739932936087216128,1053,3964,2016-06-06 21:32:13
739844404073074688,836,3712,2016-06-06 15:40:26
739623569819336705,1323,3677,2016-06-06 01:02:55
739606147276148736,1604,5261,2016-06-05 23:53:41
739544079319588864,20626,38554,2016-06-05 19:47:03
739485634323156992,2847,6986,2016-06-05 15:54:48
739238157791694849,56359,113101,2016-06-04 23:31:25
738891149612572673,6,105,2016-06-04 00:32:32
738885046782832640,1112,3682,2016-06-04 00:08:17
738883359779196928,769,3225,2016-06-04 00:01:35
738537504001953792,1487,4962,2016-06-03 01:07:16
738402415918125056,804,3176,2016-06-02 16:10:29
738184450748633089,1179,4220,2016-06-02 01:44:22
738166403467907072,3249,8549,2016-06-02 00:32:39
738156290900254721,621,2442,2016-06-01 23:52:28
737826014890496000,1719,5138,2016-06-01 02:00:04
737800304142471168,3358,9746,2016-06-01 00:17:54
737678689543020544,1277,4913,2016-05-31 16:14:39
737445876994609152,4320,9992,2016-05-31 00:49:32
737322739594330112,787,3517,2016-05-30 16:40:14
737310737551491075,7202,14291,2016-05-30 15:52:33
736736130620620800,1676,4134,2016-05-29 01:49:16
736392552031657984,7150,17255,2016-05-28 03:04:00
736365877722001409,1202,3871,2016-05-28 01:18:00
736225175608430592,2704,7897,2016-05-27 15:58:54
736010884653420544,2890,7690,2016-05-27 01:47:23
735991953473572864,1112,3502,2016-05-27 00:32:10
735648611367784448,1074,3941,2016-05-26 01:47:51
735635087207878657,2275,6000,2016-05-26 00:54:06
735274964362878976,4871,12697,2016-05-25 01:03:06
735256018284875776,853,3246,2016-05-24 23:47:49
735137028879360001,945,3053,2016-05-24 15:55:00
734912297295085568,512,2681,2016-05-24 01:02:00
734787690684657664,6109,12208,2016-05-23 16:46:51
734776360183431168,519,2439,2016-05-23 16:01:50
734559631394082816,384,1449,2016-05-23 01:40:38
733828123016450049,756,3485,2016-05-21 01:13:53
733822306246479872,992,3572,2016-05-21 00:50:46
733482008106668032,918,3053,2016-05-20 02:18:32
733460102733135873,1235,4071,2016-05-20 00:51:30
733109485275860992,16348,48956,2016-05-19 01:38:16
732732193018155009,518,2366,2016-05-18 00:39:02
732726085725589504,864,3462,2016-05-18 00:14:46
732585889486888962,758,3570,2016-05-17 14:57:41
732375214819057664,2431,7873,2016-05-17 01:00:32
732005617171337216,5230,14489,2016-05-16 00:31:53
731285275100512256,967,3409,2016-05-14 00:49:30
731156023742988288,1227,3740,2016-05-13 16:15:54
730924654643314689,1921,5987,2016-05-13 00:56:32
730573383004487680,2071,4756,2016-05-12 01:40:42
730427201120833536,1012,3396,2016-05-11 15:59:50
730211855403241472,1030,3722,2016-05-11 01:44:07
730196704625098752,1833,4709,2016-05-11 00:43:55
729854734790754305,1088,3924,2016-05-10 02:05:03
729838605770891264,368,1685,2016-05-10 01:00:58
729823566028484608,1213,3870,2016-05-10 00:01:12
729463711119904772,2245,5637,2016-05-09 00:11:16
729113531270991872,309,1830,2016-05-08 00:59:46
728986383096946689,794,3064,2016-05-07 16:34:32
728760639972315136,1648,4544,2016-05-07 01:37:30
728751179681943552,655,2691,2016-05-07 00:59:55
728653952833728512,1005,3227,2016-05-06 18:33:34
728409960103686147,1926,4768,2016-05-06 02:24:02
728387165835677696,934,3607,2016-05-06 00:53:27
728046963732717569,1168,4179,2016-05-05 02:21:37
728035342121635841,1623,4441,2016-05-05 01:35:26
728015554473250816,1074,4016,2016-05-05 00:16:48
727685679342333952,617,2879,2016-05-04 02:26:00
727644517743104000,1689,5717,2016-05-03 23:42:26
727524757080539137,1181,4360,2016-05-03 15:46:33
727314416056803329,719,3248,2016-05-03 01:50:44
727286334147182592,792,2977,2016-05-02 23:59:09
727175381690781696,1346,3811,2016-05-02 16:38:15
727155742655025152,1284,3531,2016-05-02 15:20:13
726935089318363137,2358,6688,2016-05-02 00:43:25
726887082820554753,1472,3727,2016-05-01 21:32:40
726828223124897792,976,3475,2016-05-01 17:38:46
726224900189511680,1106,4302,2016-04-30 01:41:23
725842289046749185,2582,6895,2016-04-29 00:21:01
725786712245440512,1331,4068,2016-04-28 20:40:11
725729321944506368,1721,5073,2016-04-28 16:52:08
725458796924002305,593,1382,2016-04-27 22:57:10
724983749226668032,1269,3640,2016-04-26 15:29:30
724771698126512129,614,2282,2016-04-26 01:26:53
724405726123311104,1605,5141,2016-04-25 01:12:38
724049859469295616,1725,4223,2016-04-24 01:38:33
724046343203856385,542,2591,2016-04-24 01:24:35
724004602748780546,1492,4080,2016-04-23 22:38:43
723912936180330496,1188,3785,2016-04-23 16:34:28
723688335806480385,2838,7465,2016-04-23 01:41:59
723673163800948736,861,2936,2016-04-23 00:41:42
723179728551723008,1793,5154,2016-04-21 16:00:57
722974582966214656,1521,3987,2016-04-21 02:25:47
722613351520608256,1585,4846,2016-04-20 02:30:23
721503162398597120,1769,4492,2016-04-17 00:58:53
721001180231503872,594,2464,2016-04-15 15:44:11
720785406564900865,742,3026,2016-04-15 01:26:47
720775346191278080,639,2402,2016-04-15 00:46:48
720415127506415616,1452,4023,2016-04-14 00:55:25
720389942216527872,2423,6195,2016-04-13 23:15:21
720340705894408192,946,2795,2016-04-13 19:59:42
720059472081784833,1092,3758,2016-04-13 01:22:10
720043174954147842,1939,4782,2016-04-13 00:17:25
719991154352222208,1685,4706,2016-04-12 20:50:42
719704490224398336,1380,4420,2016-04-12 01:51:36
719551379208073216,1832,4924,2016-04-11 15:43:12
719367763014393856,722,2723,2016-04-11 03:33:34
719339463458033665,1192,4317,2016-04-11 01:41:07
719332531645071360,918,3337,2016-04-11 01:13:34
718971898235854848,1044,3390,2016-04-10 01:20:33
718939241951195136,1698,5111,2016-04-09 23:10:47
718631497683582976,7773,18358,2016-04-09 02:47:55
718613305783398402,465,2371,2016-04-09 01:35:37
718540630683709445,983,2380,2016-04-08 20:46:50
718460005985447936,510,2626,2016-04-08 15:26:28
718454725339934721,1471,4735,2016-04-08 15:05:29
718246886998687744,481,1857,2016-04-08 01:19:36
718234618122661888,957,3769,2016-04-08 00:30:51
717841801130979328,586,2389,2016-04-06 22:29:56
717790033953034240,1069,2798,2016-04-06 19:04:14
717537687239008257,1784,5617,2016-04-06 02:21:30
717428917016076293,432,1575,2016-04-05 19:09:17
717421804990701568,814,3074,2016-04-05 18:41:02
717047459982213120,1864,6116,2016-04-04 17:53:31
717009362452090881,935,3150,2016-04-04 15:22:08
716802964044845056,1136,4172,2016-04-04 01:41:58
716791146589110272,1527,7973,2016-04-04 00:55:01
716730379797970944,414,1199,2016-04-03 20:53:33
716447146686459905,5673,12684,2016-04-03 02:08:05
716439118184652801,203,2320,2016-04-03 01:36:11
716285507865542656,1014,2695,2016-04-02 15:25:47
716080869887381504,1844,6590,2016-04-02 01:52:38
715928423106027520,852,3114,2016-04-01 15:46:52
715758151270801409,1382,3617,2016-04-01 04:30:16
715733265223708672,1636,4542,2016-04-01 02:51:22
715704790270025728,554,2704,2016-04-01 00:58:13
715696743237730304,1252,3812,2016-04-01 00:26:15
715680795826982913,1559,4179,2016-03-31 23:22:53
715360349751484417,1513,5321,2016-03-31 02:09:32
715342466308784130,667,2967,2016-03-31 00:58:29
715220193576927233,627,2363,2016-03-30 16:52:36
715200624753819648,1815,5002,2016-03-30 15:34:51
715009755312439296,1186,4037,2016-03-30 02:56:24
714982300363173890,1005,3630,2016-03-30 01:07:18
714962719905021952,4118,7155,2016-03-29 23:49:30
714957620017307648,1366,4032,2016-03-29 23:29:14
714631576617938945,962,3195,2016-03-29 01:53:39
714606013974974464,898,3527,2016-03-29 00:12:05
714485234495041536,1089,2599,2016-03-28 16:12:09
714258258790387713,706,2956,2016-03-28 01:10:13
714251586676113411,810,3182,2016-03-28 00:43:43
714214115368108032,843,2214,2016-03-27 22:14:49
714141408463036416,1353,4207,2016-03-27 17:25:54
713919462244790272,768,3208,2016-03-27 02:43:58
713909862279876608,522,1845,2016-03-27 02:05:49
713900603437621249,711,2765,2016-03-27 01:29:02
713761197720473600,1327,4729,2016-03-26 16:15:05
713411074226274305,1261,4311,2016-03-25 17:03:49
713177543487135744,2765,7029,2016-03-25 01:35:51
713175907180089344,1434,4336,2016-03-25 01:29:21
712809025985978368,6516,18525,2016-03-24 01:11:29
712717840512598017,4802,11982,2016-03-23 19:09:09
712668654853337088,1178,4068,2016-03-23 15:53:42
712438159032893441,1516,5174,2016-03-23 00:37:48
712309440758808576,25,231,2016-03-22 16:06:19
712097430750289920,1002,3669,2016-03-22 02:03:52
712092745624633345,859,2862,2016-03-22 01:45:15
712085617388212225,472,3192,2016-03-22 01:16:55
712065007010385924,603,2200,2016-03-21 23:55:01
711998809858043904,123,0,2016-03-21 19:31:59
711968124745228288,2233,7830,2016-03-21 17:30:03
711743778164514816,963,2764,2016-03-21 02:38:34
711732680602345472,3959,8592,2016-03-21 01:54:29
711694788429553666,17773,31994,2016-03-20 23:23:54
711652651650457602,887,3756,2016-03-20 20:36:28
711363825979756544,1099,3541,2016-03-20 01:28:47
711306686208872448,716,3215,2016-03-19 21:41:44
711008018775851008,591,2919,2016-03-19 01:54:56
710997087345876993,1342,4454,2016-03-19 01:11:29
710844581445812225,662,2478,2016-03-18 15:05:29
710833117892898816,516,2612,2016-03-18 14:19:56
710658690886586372,545,2250,2016-03-18 02:46:49
710609963652087808,2304,4674,2016-03-17 23:33:12
710588934686908417,1806,4412,2016-03-17 22:09:38
710296729921429505,717,2317,2016-03-17 02:48:31
710283270106132480,507,2096,2016-03-17 01:55:02
710272297844797440,1211,4411,2016-03-17 01:11:26
710269109699739648,1084,2330,2016-03-17 00:58:46
710153181850935296,866,2830,2016-03-16 17:18:07
710140971284037632,853,2678,2016-03-16 16:29:35
710117014656950272,1920,5313,2016-03-16 14:54:24
709918798883774466,1056,3413,2016-03-16 01:46:45
709901256215666688,99,642,2016-03-16 00:37:03
709852847387627521,1165,3416,2016-03-15 21:24:41
709566166965075968,1160,3455,2016-03-15 02:25:31
709556954897764353,1038,3202,2016-03-15 01:48:55
709519240576036864,230,1457,2016-03-14 23:19:03
709449600415961088,554,2153,2016-03-14 18:42:20
709409458133323776,658,2541,2016-03-14 16:02:49
709225125749587968,559,2359,2016-03-14 03:50:21
709207347839836162,5596,12158,2016-03-14 02:39:42
709198395643068416,621,2380,2016-03-14 02:04:08
709179584944730112,651,1954,2016-03-14 00:49:23
709158332880297985,404,1983,2016-03-13 23:24:56
709042156699303936,1577,4607,2016-03-13 15:43:18
708853462201716736,642,1762,2016-03-13 03:13:29
708845821941387268,870,2902,2016-03-13 02:43:08
708834316713893888,487,1644,2016-03-13 01:57:25
708810915978854401,6715,16032,2016-03-13 00:24:26
708738143638450176,787,2688,2016-03-12 19:35:15
708711088997666817,694,2463,2016-03-12 17:47:45
708479650088034305,661,2478,2016-03-12 02:28:06
708469915515297792,792,3023,2016-03-12 01:49:25
708400866336894977,9761,15546,2016-03-11 21:15:02
708356463048204288,1279,3487,2016-03-11 18:18:36
708349470027751425,718,2298,2016-03-11 17:50:48
708149363256774660,1510,4183,2016-03-11 04:35:39
708130923141795840,829,3297,2016-03-11 03:22:23
708119489313951744,955,2631,2016-03-11 02:36:57
708109389455101952,538,1898,2016-03-11 01:56:49
708026248782585858,1871,4284,2016-03-10 20:26:26
707995814724026368,1095,3051,2016-03-10 18:25:30
707983188426153984,2,49,2016-03-10 17:35:20
707969809498152960,931,2628,2016-03-10 16:42:10
707776935007539200,927,3193,2016-03-10 03:55:45
707741517457260545,592,2425,2016-03-10 01:35:01
707738799544082433,2396,3982,2016-03-10 01:24:13
707693576495472641,959,3306,2016-03-09 22:24:31
707629649552134146,841,2504,2016-03-09 18:10:30
707610948723478529,6150,16525,2016-03-09 16:56:11
707420581654872064,674,2203,2016-03-09 04:19:44
707411934438625280,581,2241,2016-03-09 03:45:22
707387676719185920,1245,3405,2016-03-09 02:08:59
707377100785885184,1059,3193,2016-03-09 01:26:57
707315916783140866,621,2410,2016-03-08 21:23:50
707297311098011648,760,2706,2016-03-08 20:09:54
707059547140169728,655,2533,2016-03-08 04:25:07
707038192327901184,763,2128,2016-03-08 03:00:15
707021089608753152,1313,3981,2016-03-08 01:52:18
707014260413456384,581,2257,2016-03-08 01:25:10
706904523814649856,7632,14196,2016-03-07 18:09:06
706901761596989440,566,1996,2016-03-07 17:58:08
706681918348251136,949,3221,2016-03-07 03:24:33
706644897839910912,1055,2506,2016-03-07 00:57:27
706593038911545345,612,2100,2016-03-06 21:31:22
706538006853918722,1387,3384,2016-03-06 17:52:42
706516534877929472,1004,3043,2016-03-06 16:27:23
706346369204748288,903,3368,2016-03-06 05:11:12
706310011488698368,7686,20748,2016-03-06 02:46:44
706291001778950144,465,1667,2016-03-06 01:31:11
706265994973601792,908,2669,2016-03-05 23:51:49
706169069255446529,2141,3808,2016-03-05 17:26:40
706166467411222528,1557,5026,2016-03-05 17:16:20
706153300320784384,375,1448,2016-03-05 16:24:01
705975130514706432,710,3026,2016-03-05 04:36:02
705970349788291072,869,3107,2016-03-05 04:17:02
705898680587526145,537,2306,2016-03-04 23:32:15
705786532653883392,503,1884,2016-03-04 16:06:36
705591895322394625,1117,3096,2016-03-04 03:13:11
705475953783398401,886,2889,2016-03-03 19:32:29
705442520700944385,1574,4309,2016-03-03 17:19:38
705428427625635840,1627,3715,2016-03-03 16:23:38
705239209544720384,733,2926,2016-03-03 03:51:44
705223444686888960,778,2533,2016-03-03 02:49:06
705102439679201280,504,2090,2016-03-02 18:48:16
705066031337840642,602,2137,2016-03-02 16:23:36
704871453724954624,1092,4175,2016-03-02 03:30:25
704859558691414016,523,2195,2016-03-02 02:43:09
704847917308362754,1478,4949,2016-03-02 01:56:53
704819833553219584,951,2576,2016-03-02 00:05:17
704761120771465216,2841,6484,2016-03-01 20:11:59
704499785726889984,989,2841,2016-03-01 02:53:32
704491224099647488,76,733,2016-03-01 02:19:31
704480331685040129,1038,3305,2016-03-01 01:36:14
704364645503647744,3454,7793,2016-02-29 17:56:32
704347321748819968,339,1539,2016-02-29 16:47:42
704134088924532736,444,1472,2016-02-29 02:40:23
704113298707505153,557,1809,2016-02-29 01:17:46
704054845121142784,891,2844,2016-02-28 21:25:30
703774238772166656,441,1795,2016-02-28 02:50:28
703769065844768768,1106,3192,2016-02-28 02:29:55
